name,main_category,sub_category,image_url,image_local,link,ratings,no_of_ratings,description,discount_price_usd,actual_price_usd
STARTRC OSMO Pocket 2 Lens Sun Hood Sunshade Protective Cover for DJI Pocket 2 Accessories,"tv, audio & cameras",Camera Accessories,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71+PTW05JVL._AC_UL320_.jpg,,https://www.amazon.in/STARTRC-Sunshade-Prevent-Protective-Accessories/dp/B08PYRLNTT/ref=sr_1_7059?qid=1679132951&s=electronics&sr=1-7059,4.2,347,"【Perfect Match】：The lens sun hood compatible with DJI OSMO Pocket 2 camera.Rotate with the rotation of the lens, and will not affect the normal use of the camera. | 【Protective】：Prevent glare by stopping parasitic light coming into the lens,improve picture and videos quality without light sources reflections. | 【High quality material】：The lens sun hood for Pocket 2 is made of high quality ABS material,Good hand feeling and durability.Clamping on the rotating shaft will not be too tight or too loose, so it can be used with confidence. | 【Lossless installation】：No other tools are needed, the installation and disassembly are simple, and the expand opening design will not affect the photographing. | 【In the box】：1 * sunshade for DJI OSMO Pocket 2.( NOTE: The Pocket 2 camera is not included.)",7.07,11.99
white pearl kamarband maggam work cloth waist belt streachable kamarpatta for lehenga sontada belt aari work hip belt for ...,accessories,Fashion & Silver Jewellery,https://m.media-amazon.com/images/I/61K+ALg6IFL._AC_UL320_.jpg,product_images\90_white_pearl_kamarband_maggam_work_cloth_waist_belt_streachab.jpg,https://www.amazon.in/pearl-belt-streachable-kamarpatta-saree/dp/B0BTJ4Z7BD/ref=sr_1_7965?qid=1679160214&s=jewelry&sr=1-7965,Get,FREE Delivery by Amazon,Buy VAMA Women Fashions White Pearl Kamarband Maggam Work Cloth Waist Belt Stretchable Kamarpatta For Lehenga Sontada Belt Aari Work Hip Belt For Saree Kamarbandh Vaddanam For Wedding from Belts at Amazon.in. 30 days free exchange or return,11.86,36.0
dockstreet Men's Boxer Brief Comfortable Stretchable/Soft fit Brief Trunk Styled Underwear,men's clothing,Innerwear,https://m.media-amazon.com/images/I/518z8ctGM2L._AC_UL320_.jpg,product_images\91_dockstreet_Men's_Boxer_Brief_Comfortable_StretchableSoft_fit.jpg,https://www.amazon.in/dockstreet-Comfortable-Stretchable-Underwear-MenUndrwear029DCKWhitPrntBlack75/dp/B0BRBF9BMB/ref=sr_1_16164?qid=1679143060&s=apparel&sr=1-16164,3.4,14,Buy dockstreet Boxer Brief Comfortable Stretchable/Soft Fit Brief Trunk Styled Underwear for Men MenUndrwear029DCKWhitPrntBlack75 from Briefs at Amazon.in,2.74,5.99
DIVYE Taparia Digital Voltage Tester MDT 81+Taparia WS 05 Steel (130mm) Wire Stripping Plier (Green and Black),industrial supplies,"Test, Measure & Inspect",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41h0z381-qL._AC_UL320_.jpg,,https://www.amazon.in/DIVYE-Taparia-Digital-Voltage-Stripping/dp/B08Z9MHF5S/ref=sr_1_2896?qid=1679223000&s=industrial&sr=1-2896,4.1,13,"Made from high grade chrome vanadium steel | The blade is made from high grade chrome vanadium steel | Hardness on tip: 54 58 HRC, Tip size : 30 mm x 05 mm | The blade has a bright Nickel Chrome plating which resists corrosion | Material: SteelColor: Green and Black | Package Contents: 1-Piece Wire Stripping Pliers | 1 Year Standard Product Warranty | Generally conforming to is 5087 - 1969",2.09,2.24
"INLIFE Natural Garlic Oil, 60 Capsules For Heart,Cholesterol and Weight Loss- 60 Liquid Filled Capsules",beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/81-nB+CJF6L._AC_UL320_.jpg,"product_images\93_INLIFE_Natural_Garlic_Oil,_60_Capsules_For_Heart,Cholesterol.jpg",https://www.amazon.in/Inlife-Garlic-Oil-Supplement-500/dp/B00HSEBQCM/ref=sr_1_4649?qid=1679216072&s=hpc&sr=1-4649,4.0,215,"Premium Formula - Inlife Garlic Oil is made with 500 mg garlic oil per capsule, a traditionally used ingredient, provided in an easy-to-consume capsule form. | Packed with Nutrients - Garlic is known for its natural nutritional profile, containing vitamins, minerals, and antioxidants. | Convenient Liquid-Filled Capsules - Our liquid-filled capsules are easy to swallow, odorless, and help provide a practical option compared to traditional softgels. | Absorption: Designed in a liquid-filled capsule form, which is commonly used to support ingredient bioavailability. | Quality Packaging: The capsules are tamper-proof with a band seal, designed to help minimize leakage and preserve freshness. | Manufactured in Certified Facilities – Produced in AYUSH certified facilities, following defined production standards for quality and consistency. | Suggested Usage:Take 1 capsule daily after a meal or as directed by your healthcare professional. | Packaging : 60 hard shelled capsules ,designed for convinient daily use.",2.93,4.79
"Mini Baby Silicone Baby Medicine Feeder Dropper Graduated Pipette Liquid Food Dropper (5 ml) (Pack of 1, Blue)",toys & baby products,"Baby Bath, Skin & Grooming",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/213hH8ZmHiL._AC_UL320_.jpg,,https://www.amazon.in/Mini-Baby-Silicone-Medicine-Graduated/dp/B0B3D76RT9/ref=sr_1_5931?qid=1679220041&s=baby&sr=1-5931,3.6,38,"The Medicine dropper makes it simple to administer medicine with no spills. | The measurement markings are clear and simple to read | To Clean : please the medicine dropper in warm soapy water, wash thoroughly before and after each use | Feel comfort that 100% FOOD GRADE premium materials are used in these droppers. Feel safe that these 5m",2.27,5.99
Heads Up For Tails Monty The Monkey Rope Dog Toy - 19 cm,pet supplies,Dog supplies,https://m.media-amazon.com/images/I/610GsAyZIOS._AC_UL320_.jpg,product_images\95_Heads_Up_For_Tails_Monty_The_Monkey_Rope_Dog_Toy_-_19_cm.jpg,https://www.amazon.in/Heads-Up-Tails-Play-Monkey/dp/B07SBTTMQH/ref=sr_1_7075?qid=1679214892&s=pet-supplies&sr=1-7075,3.6,50,"Product type: Rope toy for dogs | Made of 60% cotton, 40% polyester | Washable | Please buy appropriately sized toys for your pet | If you notice signs of wear and tear, please replace the toy",4.55,4.79
"Eastman Addo India 26 Inch Speed X, Mountain Bicycle Single Speed with Front Suspension for Men, Double Disc with Mega Hub...",sports & fitness,Cycling,https://m.media-amazon.com/images/I/71liSpp+91L._AC_UL320_.jpg,"product_images\96_Eastman_Addo_India_26_Inch_Speed_X,_Mountain_Bicycle_Single_.jpg",https://www.amazon.in/Eastman-Inches-SpeedX-Double-Suspension/dp/B09SWPY77Q/ref=sr_1_8835?qid=1679217138&s=sports&sr=1-8835,3.1,2,"DURABLE STEEL FRAME: The bike features a robust and durable 26-inch steel frame with a DOUBLE-WALL ALLOY rim, ensuring longevity and top-notch performance. The glow-finished paint adds a stylish touch that your kids will love. | COMFORTABLE SADDLE: Equipped with a comfortable PU saddle, the ADDO SPEED-X SPECS bike offers a sleek and enjoyable riding experience, allowing your child to cruise in style. | DOUBLE DISC BRAKES: With DOUBLE DISC BRAKES and MEGA HUB, this bike provides enhanced braking performance and rider safety, instilling confidence during every ride. | THREADLESS FORK: The STEEL FORK with THREADLESS FITTING offers a traditional feel while riding, making it a stylish and comfortable choice for your child's biking adventures. | TRUSTED BRAND: ADDO SPEED-X SPECS is part of the renowned Eastman Addo India brand, known for its commitment to quality and performance, ensuring that your child enjoys a reliable and enjoyable biking experience",98.39,129.6
Miraggio Irene Soft Gathered Women's Shoulder Handbag,accessories,Bags & Luggage,https://m.media-amazon.com/images/I/51pGDM6J+DL._AC_UL320_.jpg,product_images\97_Miraggio_Irene_Soft_Gathered_Women's_Shoulder_Handbag.jpg,https://www.amazon.in/Miraggio-Womens-Irene-Gathered-Shoulder/dp/B095SQV6D8/ref=sr_1_11943_mod_primary_new?qid=1679144287&s=luggage&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-11943,4.0,36,Buy Miraggio Irene Soft Gathered Shoulder Bag For Women Stylish | Women Shoulder Bag from Hobos & Shoulder Bags at Amazon.in. 30 days free exchange or return,17.99,41.99
Kovove The Circular Silver Cufflinks Silver Coloured Cufflinks,accessories,Jewellery,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71n2q9WFMRL._AC_UL320_.jpg,,https://www.amazon.in/Kovove-Circular-Silver-Cufflinks-Coloured/dp/B07KDCFFSX/ref=sr_1_15780?qid=1679145685&s=jewelry&sr=1-15780,5.0,1,Buy Kovove The Circular Silver Cufflinks Silver Coloured Cufflinks from Cufflinks at Amazon.in. 30 days free exchange or return,5.99,14.35
Boosty B4 Continuous Video Light with 1000 Watt Halogen Tube for Video Cameras and YouTube Video Shooting,"tv, audio & cameras",Camera Accessories,https://m.media-amazon.com/images/I/41o-lHLCbNL._AC_UL320_.jpg,product_images\99_Boosty_B4_Continuous_Video_Light_with_1000_Watt_Halogen_Tube.jpg,https://www.amazon.in/Boosty-Continuous-Halogen-Cameras-Shooting/dp/B09JZ33NDR/ref=sr_1_4185?qid=1679132793&s=electronics&sr=1-4185,3.2,92,"Ultra-Bright 1000W Halogen Bulb: Delivers powerful illumination ideal for large workspaces, construction sites, and studio lighting setups. | Clamp-On Mounting: Equipped with a strong, adjustable clamp that attaches securely to tables, poles, and other surfaces for flexible positioning. | Directional Aluminum Reflector: Features adjustable flaps to focus and direct light where it's needed, reducing glare and increasing efficiency. | Built Tough for Demanding Tasks: Durable metal housing and heat-resistant handle ensure long-lasting performance in rugged environments. | Plug-and-Play Operation: Comes with an integrated power cord and standard plug—no installation required for instant use.",6.59,15.59
